Aeetes	Aeetes or Aeeta, -ae (m.); of or bolonging to Aeetes, Aeetean, Aeeteus, -a, -um, and Aeetius, -a, -um; danghter or female descendant of Aeetes, Aeetias, -adis, Aeetine, -es, and Aeetis, -idis
Aege	Aegae, or Aegeae, -arum (f.); of or belonging to Aege, Aegean, Aegaeus, -a, -um; inhabitants of Aega, Aegeates, -ium (m.)
Aegaeon	Aegaeon, -onis and later -inis (m.)
Aegates	Aegates, -ium (f.)
Aegea	v. Aegae
Aegean, Aegean Sea	Aegaeum Mare
Aegeria	v. Egeria
Aegeus	.Aegeus, -i, and Aegeus, -eos (m.); son or descendant of Aegeus, Aegides, -ae (m.)
Aegiale	Aegiale, -es (f.)
Aegialeus	Aegialeus, -ei, and Aegialeus, -eos (m.)
Aegina	Aegina, -ae (f.); of or belonging to Aegina, Aeginensis, -e, and Aegineticus, -a, -um; an inhabitant of Aegina, Aegineta, -ae (m.)
Aeginium	Aeginium, -ii (n.)
Aegira	Aegira, -ae (f.)
Aeisthus	-i (m.)
Aegium	Aegium, -ii (n.); of or belonging to Aegium, Aegius, -a, -um
Aegle	Aegle, -es (f.)
Aegon	Aegon, -onis (m.)
Aegosthena	Aegosthena, -orum (m.): the inhabitants of Aegosthena, Aegosteniensis, -ium
Aegypt	etc., v. Aegypt
Aegyptus	Aegyptus, -i (m.)
Aelian	Aelianus, -i (m.)
Aelian	v. Aelius; Aelia, Aelia, -ae (f.)
Aelius	Aelius, -ii (m.); of or belonging to Aelius, Aelian, Aelianus, -a, -um, and Aelius, -a, -um; the Aelian house, Aelia gens
Aello	Aello, -us (f.)
Aemilia	Aemilia, -ae (f.)
Aemilius	Aemilius, -ii (m.); of or belonging to Aemilius, or the Aemilian gens, Aemilian, Aemilianus, -a, -um, and Aemilius, -a. -um
Aemon	Aemon, -onis (m.); son of Aemon, Aemonides
Aemonia	etc., v. Haemonia
Aenaria	v. Ischia
Aeneas	Aeneas, -ae (m.); son or descendant of Aeneas, Aeneades, -ae (m.); of or belonging to Aeneas, Aeneius, -a, -um; a poem relating to Aeneas, Aeneis, -idos (f.)
Aeneid	Aeneis, -idos (f.)
